ORG ID,product,quantity,price,notes
111,Program + Meals,20,265,
112,Full,36,420,
113,Full,14,415,
114,Program Only,12,185,
115,Program Only,15,185,
116,Full,50,405,
117,Program Only,20,185,
118,Full,50,420,
119,Program Only,38,185,
120,Full,40,405,
121,Program + Hotel,40,335,
122,Full,45,405,
123,Full,15,420,
124,Full,50,389,
125,Program + Hotel,5,340,
126,Program + Hotel,60,340,
127,Full,5,395,
128,Program + Hotel,20,315,
129,Program + Hotel,20,315,
130,Program + Hotel,23,315,
131,Full,38,405,
132,Full,30,420,
133,Full,31,415,
134,Full,2,405,
135,Program Only,15,185,
84,The Plaza,1,0,
98,Comfort Suites ,1,0,
125,The Plaza,1,0,
127,Holiday Inn Hotel & Suites,1,0,
134,The Shores,1,0,
99,The Plaza,2,0,
18,The Plaza,3,0,
35,Best Western Aku Tiki,3,0,
57,Holiday Inn Hotel & Suites,3,0,
73,Hampton Inn,3,0,
91,Comfort Suites ,3,0,
113,Hilton Garden Inn,3,0,
6,Hilton,4,0,
16,The Plaza,4,0,
45,Hyatt Place,4,0,
49,The Plaza,4,0,
59,The Plaza,4,0,
90,Comfort Suites ,4,0,
93,The Plaza,4,0,
95,Comfort Suites ,4,0,
97,Comfort Suites ,4,0,
104,The Plaza,4,0,
123,Wyndham Ocean Walk,4,0,
28,Best Western Aku Tiki,5,0,
31,Bahama House,5,0,
32,Hilton,5,0,
36,Hilton,5,0,
40,Hampton Inn,5,0,
55,Daytona Beach Resort,5,0,
75,Daytona Beach Resort,5,0,
77,The Plaza,5,0,
79,Holiday Inn Express & Suites,5,0,
81,Daytona Beach Resort,5,0,
86,Daytona Beach Resort,5,0,
128,Hampton Inn,5,0,
129,Holiday Inn Hotel & Suites,5,0,
17,The Plaza,6,0,
23,Best Western Seabreeze,6,0,
68,Comfort Suites ,6,0,
70,Hyatt Place,6,0,
83,Daytona Beach Resort,6,0,
89,Daytona Beach Resort,6,0,
100,Comfort Suites,6,0,
102,Holiday Inn Resort,6,0,
130,Holiday Inn Hotel & Suites,6,0,
11,Hilton,7,0,
19,Best Western Seabreeze,7,0,
30,Hilton,7,0,
34,The Plaza,7,0,
44,The Plaza,7,0,
48,Wyndham Ocean Walk,7,0,
51,Best Western Aku Tiki,7,0,
63,The Plaza,7,0,
105,The Shores,7,0,
132,The Plaza,7,0,
72,Holiday Inn Hotel & Suites,8,0,
82,Comfort Suites ,8,0,
133,Hilton Garden Inn,8,0,
20,Best Western Aku Tiki,9,0,
58,Hampton Inn,9,0,
61,Daytona Beach Resort,9,0,
80,Comfort Suites ,9,0,
88,Perry's Resort,9,0,
92,The Plaza,9,0,
103,The Plaza,9,0,
107,Perry's Resort,9,0,
112,The Plaza,9,0,
131,Best Western Seabreeze,9,0,
12,Hilton,10,0,
22,Comfort Suites ,10,0,
25,Best Western Seabreeze,10,0,
78,Daytona Beach Resort,10,0,
106,Hilton Garden Inn,10,0,
109,Hilton Garden Inn,10,0,
110,The Shores,10,0,
120,The Shores,10,0,
121,Hilton Garden Inn,10,0,
24,Best Western Seabreeze,11,0,
53,Comfort Suites ,11,0,
122,The Shores,11,0,
5,Hilton,12,0,
13,Hilton,12,0,
69,Holiday Inn Hotel & Suites,12,0,
108,Holiday Inn Hotel & Suites,12,0,
116,The Shores,12,0,
118,The Plaza,12,0,
124,Best Western Aku Tiki,12,0,
56,The Plaza,13,0,
38,The Plaza,14,0,
39,Best Western Aku Tiki,14,0,
67,Comfort Suites ,14,0,
37,Best Western Aku Tiki,15,0,
54,The Plaza,15,0,
126,The Plaza,15,0,
64,Hampton Inn,16,0,
52,Holiday Inn Express & Suites,17,0,
42,Holiday Inn Express & Suites,18,0,
8,Hilton,19,0,
33,Hyatt Place,19,0,
3,Hilton,20,0,
62,The Plaza,20,0,
10,Hilton,25,0,
7,Hilton,28,0,
9,Hilton,28,0,
27,The Plaza,28,0,
4,Hilton,31,0,
15,Bahama House,31,0,
26,The Plaza,31,0,
94,Holiday Inn Resort,31,0,
14,The Plaza,42,0,
1,Hilton,105,0,
2,Hilton,112,0,
2,Sunday Check-In,112,165,
4,Sunday Check-In,31,0,switched to Sunday - Thursday reservation at no additional cost
15,Sunday Check-In,33,140,
18,Sunday Check-In,4,170,
36,Sunday Check-In,6,165,
18,The Plaza,1,680,
36,Hilton,1,660,
15,Bahama House,2,560,
5,Hilton,1,660,
6,Hilton,1,0,
38,The Plaza,1,680,
49,The Plaza,1,680,
53,Comfort Suites ,1,0,
57,Holiday Inn Hotel & Suites,1,660,
79,Holiday Inn Express & Suites,1,620,
84,The Plaza,1,0,
88,Perry's Resort,1,660,
113,Hilton Garden Inn,1,0,
122,The Shores,1,620,
48,Wyndham Ocean Walk,2,0,
99,The Plaza,1,0,
99,The Plaza,1,680,
37,Best Western Aku Tiki,4,580,
8,Hilton,8,660,
1,Hilton,10,660,
